Symbol
AADI.JK
AALI.JK
ABDA.JK
ABMM.JK
ACES.JK
ADES.JK
ADMF.JK
ADMR.JK
ADRO.JK
AGII.JK
AISA.JK
AKRA.JK
ALDO.JK
ALII.JK
AMAG.JK
AMAR.JK
AMMN.JK
AMRT.JK
ANJT.JK
ANTM.JK
APIC.JK
APLN.JK
ARCI.JK
ARNA.JK
ASGR.JK
ASII.JK
ASRI.JK
ASSA.JK
AUTO.JK
AVIA.JK
AYAM.JK
BALI.JK
BBHI.JK
BBRM.JK
BESS.JK
BEST.JK
BFIN.JK
BGTG.JK
BHAT.JK
BHIT.JK
BIRD.JK
BISI.JK
BKSL.JK
BKSW.JK
BLES.JK
BLOG.JK
BLTA.JK
BLUE.JK
BMHS.JK
BMTR.JK
BNBA.JK
BOLT.JK
BRAM.JK
BRMS.JK
BRPT.JK
BSBK.JK
BSDE.JK
BSSR.JK
BSWD.JK
BTPS.JK
BUAH.JK
BUKK.JK
BULL.JK
BUMI.JK
BYAN.JK
CAMP.JK
CARE.JK
CARS.JK
CASS.JK
CBDK.JK
CDIA.JK
CEKA.JK
CFIN.JK
CITA.JK
CLEO.JK
CMNP.JK
CMRY.JK
CPIN.JK
CPRO.JK
CSRA.JK
CTRA.JK
DAAZ.JK
DATA.JK
DCII.JK
DEWA.JK
DILD.JK
DKFT.JK
DLTA.JK
DMAS.JK
DMMX.JK
DMND.JK
DNET.JK
DRMA.JK
DSNG.JK
DSSA.JK
DUTI.JK
DVLA.JK
DWGL.JK
ELPI.JK
ELSA.JK
ENRG.JK
EPMT.JK
ERAA.JK
ERAL.JK
ESSA.JK
EURO.JK
FAPA.JK
FILM.JK
FISH.JK
FOLK.JK
FORE.JK
FPNI.JK
FUTR.JK
GEMS.JK
GGRM.JK
GGRP.JK
GJTL.JK
GMTD.JK
GOLF.JK
GOOD.JK
GOTO.JK
GSMF.JK
GTSI.JK
HATM.JK
HEAL.JK
HERO.JK
HEXA.JK
HMSP.JK
HRUM.JK
HUMI.JK
IATA.JK
IBST.JK
ICBP.JK
IFII.JK
IMPC.JK
INCO.JK
INDF.JK
INDY.JK
INET.JK
INKP.JK
INPP.JK
INTP.JK
IPCC.JK
IPCM.JK
IPTV.JK
IRSX.JK
ISAT.JK
ISSP.JK
ITMG.JK
JARR.JK
JKON.JK
JPFA.JK
JRPT.JK
JSMR.JK
JSPT.JK
JTPE.JK
KBLI.JK
KDTN.JK
KEEN.JK
KEJU.JK
KETR.JK
KIJA.JK
KING.JK
KINO.JK
KKGI.JK
KLBF.JK
KOTA.JK
KPIG.JK
LIFE.JK
LIVE.JK
LPCK.JK
LPKR.JK
LSIP.JK
LTLS.JK
MAHA.JK
MAIN.JK
MAPA.JK
MAPI.JK
MARK.JK
MASA.JK
MBAP.JK
MBMA.JK
MBSS.JK
MCOL.JK
MDIY.JK
MDLA.JK
MERK.JK
META.JK
MIDI.JK
MIKA.JK
MINE.JK
MKAP.JK
MKPI.JK
MKTR.JK
MLBI.JK
MLPL.JK
MMIX.JK
MMLP.JK
MNCN.JK
MORA.JK
MPMX.JK
MSIN.JK
MSJA.JK
MSTI.JK
MTDL.JK
MTEL.JK
MTLA.JK
MTMH.JK
MYOH.JK
MYOR.JK
MYRX.JK
NCKL.JK
NEST.JK
NICL.JK
NRCA.JK
NSSS.JK
OMED.JK
PADI.JK
PALM.JK
PANI.JK
PANS.JK
PBID.JK
PBSA.JK
PGAS.JK
PGEO.JK
PGUN.JK
PKPK.JK
PLIN.JK
PMJS.JK
PNGO.JK
POLI.JK
PORT.JK
POWR.JK
PRAY.JK
PRDA.JK
PSAB.JK
PSAT.JK
PSGO.JK
PTBA.JK
PTSN.JK
PWON.JK
RAJA.JK
RALS.JK
RATU.JK
RDTX.JK
RIMO.JK
RISE.JK
RLCO.JK
RMKE.JK
ROCK.JK
ROTI.JK
RSGK.JK
SAMF.JK
SCCO.JK
SCMA.JK
SGER.JK
SGRO.JK
SHIP.JK
SIDO.JK
SILO.JK
SIMP.JK
SIPD.JK
SKBM.JK
SKLT.JK
SKRN.JK
SMAR.JK
SMBR.JK
SMCB.JK
SMDM.JK
SMDR.JK
SMGR.JK
SMIL.JK
SMRA.JK
SMSM.JK
SOCI.JK
SOHO.JK
SONA.JK
SPTO.JK
SRTG.JK
SSIA.JK
STAA.JK
STAR.JK
STTP.JK
SUGI.JK
SUNI.JK
SUPA.JK
SUPR.JK
TAMU.JK
TAPG.JK
TCID.JK
TCPI.JK
TEBE.JK
TGKA.JK
TIFA.JK
TINS.JK
TKIM.JK
TLDN.JK
TLKM.JK
TMAS.JK
TOTO.JK
TOWR.JK
TPIA.JK
TPMA.JK
TRAM.JK
TRST.JK
TSPC.JK
TUGU.JK
UANG.JK
UCID.JK
ULTJ.JK
UNIC.JK
UNTR.JK
VICI.JK
WIFI.JK
WIIM.JK
WINS.JK
WOOD.JK
YUPI.JK
