Symbol
^DJI
^GSPC
^JKSE
^NDX
A
AAL
ABCL
ABNB
ACAD
ACN
ADBE
ADI
ADP
ADSK
AEM
AGCO
AI
AKAM
ALC
ALLE
ALNY
AMAT
AMD
AME
AMGN
AMWL
AMZN
ANET
ANGI
AOS
APD
API
APTV
ASAN
AU
AVGO
AZN
BAX
BB
BC
BDX
BIIB
BILL
BIO
BKNG
BNGO
BOX
BRK-A
BRK-B
BSX
BYND
CAT
CCSI
CDNS
CDW
CE
CHD
CHRW
CHWY
CL
CMI
CPRT
CRM
CRWD
CSCO
CSL
CSX
CTAS
CTSH
CTVA
CVNA
CVX
DASH
DBX
DDOG
DECK
DHI
DHR
DLB
DOCU
DOV
DXCM
EA
EBAY
ECL
EFX
EIDO
EL
EMR
ENTG
EQIX
ERIC
ETN
ETSY
EW
EXPD
FCEL
FFIV
FIVN
FIZZ
FMC
FSLR
FSLY
FTV
GDDY
GFI
GOOG
GPC
GPRO
GRMN
HAL
HD
HLAL
HMY
HPQ
HSIC
HSY
HUBS
ICLR
IDXX
IEX
ILMN
INCY
INDO
INFO
INTC
INTU
IR
ISRG
IT
ITW
JBHT
JD
JKHY
JMIA
JNJ
KEYS
KGC
KLAC
KMB
KO
LEN
LINK
LLY
LOW
LRCX
LULU
LW
LYFT
MA
MARK
MAS
MCHP
MCO
MDLZ
MDT
META
MKC
MMM
MNST
MRK
MSFT
MSI
MU
NEM
NET
NIO
NKE
NOW
NSC
NTAP
NVDA
NVS
ODFL
OTIS
PAYC
PAYX
PEP
PG
PH
PHG
PHM
PLUG
PPG
PRIM
PTON
PWR
QCOM
QRVO
RACE
REGN
RHI
ROK
ROL
ROST
RSG
SAP
SAPX
SCCO
SE
SFIX
SGER
SHEL
SHIP
SHOP
SLB
SMMT
SNN
SNOW
SNPS
SNY
SPGI
SWK
SWKS
SYK
TDOC
TEAM
TEL
TER
TJX
TMO
TRIP
TRMB
TSCO
TSLA
TT
TTWO
TWLO
TXG
TXN
TYL
UAA
UAL
UBER
UL
ULTA
UPS
V
VALE
VFC
VICI
VMC
VRSN
VRTX
WDAY
WFC
WIT
WIX
WM
WOOD
WSM
XOM
XRAY
XYL
ZBH
ZG
ZM
ZONE
ZTS
